School Name,School Name [Public School] 2010-11,School ID - NCES Assigned [Public School] 2010-11,Agency Name [Public School] 2010-11,Agency ID - NCES Assigned [Public School] 2010-11,County Name [Public School] 2010-11,County Number [Public School] 2010-11,Location Address [Public School] 2010-11,Location City [Public School] 2010-11,Location State Abbr [Public School] 2010-11,Location ZIP [Public School] 2010-11,Location ZIP4 [Public School] 2010-11,Phone Number [Public School] 2010-11,School Type [Public School] 2010-11,Agency Type [District] 2010-11,Operational Status [Public School] 2010-11,Charter School [Public School] 2010-11,Latitude [Public School] 2010-11,Longitude [Public School] 2010-11,State School ID [Public School] 2010-11,State Agency ID [Public School] 2010-11
"QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL, NY",QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #24,3600098,QUEENS COUNTY,36081,3702 47TH AVE,LONG ISLAND CITY,NY,11101,,7189373010,3-Vocational school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.742189,-73.928338,342400000000,342400000000
"QUEENSBURY ELEMENTARY SCHOOL, NY",QUEENSBURY ELEMENTARY SCHOOL,362403000000,QUEENSBURY UNION FREE SCHOOL DISTRICT,3624030,WARREN COUNTY,36113,431 AVIATION RD,QUEENSBURY,NY,12804,2914,5188241604,1-Regular school,1-Local school district,1-Currently operational,2-No,43.329341,-73.690868,630902000000,630902000000
"QUEENSBURY MIDDLE SCHOOL, NY",QUEENSBURY MIDDLE SCHOOL,362403000000,QUEENSBURY UNION FREE SCHOOL DISTRICT,3624030,WARREN COUNTY,36113,455 AVIATION RD,QUEENSBURY,NY,12804,2914,5188243610,1-Regular school,1-Local school district,1-Currently operational,2-No,43.32953,-73.688826,630902000000,630902000000
"QUEENSBURY SENIOR HIGH SCHOOL, NY",QUEENSBURY SENIOR HIGH SCHOOL,362403000000,QUEENSBURY UNION FREE SCHOOL DISTRICT,3624030,WARREN COUNTY,36113,409 AVIATION RD,QUEENSBURY,NY,12804,2914,5188244626,1-Regular school,1-Local school district,1-Currently operational,2-No,43.329356,-73.691617,630902000000,630902000000
"QUEST ELEMENTARY SCHOOL, NY",QUEST ELEMENTARY SCHOOL,361446000000,HILTON CENTRAL SCHOOL DISTRICT,3614460,MONROE COUNTY,36055,225 WEST AVE,HILTON,NY,14468,1283,5853921000,1-Regular school,1-Local school district,1-Currently operational,2-No,43.287925,-77.801079,261101000000,261101000000
"QUEST TO LEARN, NY",QUEST TO LEARN,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,NEW YORK COUNTY,36061,223 EAST 23RD ST,NEW YORK,NY,10010,,2126794854,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.738652,-73.982552,310200000000,310200000000
"QUESTAR III BOCES (R-C-G), NY",QUESTAR III BOCES (R-C-G),368070000000,QUESTAR III BOCES (R-C-G),3680700,RENSSELAER COUNTY,36083,10 EMPIRE STATE BLVD2ND FL,CASTLETON,NY,12033,3221,5184778771,2-Special education school,4-Regional education services agency,1-Currently operational,2-No,42.57844,-73.683126,499000000000,499000000000
"QUIBBLETOWN MIDDLE, NJ",QUIBBLETOWN MIDDLE,341305000000,PISCATAWAY TOWNSHIP,3413050,MIDDLESEX COUNTY,34023,99 ACADEMY ST,PISCATAWAY,NJ,8854,2702,7327520444,1-Regular school,1-Local school district,1-Currently operational,2-No,40.574362,-74.451809,55,234130
"QUINEBAUG VALLEY MIDDLE COLLEGE HIGH SCHOOL, CT",QUINEBAUG VALLEY MIDDLE COLLEGE HIGH SCHOOL,90136001530,EASTERN CONNECTICUT REGIONAL,901360,WINDHAM COUNTY,9015,742 UPPER MAPLE ST,DANIELSON,CT,6239,,8604550707,1-Regular school,4-Regional education services agency,1-Currently operational,2-No,41.824932,-71.89375,61,253
"QUINTON TWP, NJ",QUINTON TWP,341350000000,QUINTON TOWNSHIP,3413500,SALEM COUNTY,34033,ROBINSON ST,QUINTON,NJ,8072,365,8569352379,1-Regular school,1-Local school district,1-Currently operational,2-No,39.543244,-75.411388,50,334280
"QUITMAN COMMUNITY SCHOOL, NJ",QUITMAN COMMUNITY SCHOOL,341134000000,NEWARK,3411340,ESSEX COUNTY,34013,21 QUITMAN ST,NEWARK,NJ,7103,4105,9737336947,1-Regular school,1-Local school district,1-Currently operational,2-No,40.729925,-74.183507,605,133570
"QUOGUE ELEMENTARY SCHOOL, NY",QUOGUE ELEMENTARY SCHOOL,362406000000,QUOGUE UNION FREE SCHOOL DISTRICT,3624060,SUFFOLK COUNTY,36103,10 EDGEWOOD RD,QUOGUE,NY,11959,957,6316534285,1-Regular school,1-Local school district,1-Currently operational,2-No,40.820968,-72.604841,580903000000,580903000000
"R C MOLINA ELEM SCHOOL, NJ",R C MOLINA ELEM SCHOOL,340264000000,CAMDEN CITY,3402640,CAMDEN COUNTY,34007,7TH AND VINE STS,CAMDEN,NJ,8102,2212,8569668970,1-Regular school,1-Local school district,1-Currently operational,2-No,39.95096,-75.11672,250,70680
"R D WOOD, NJ",R D WOOD,341032000000,MILLVILLE,3410320,CUMBERLAND COUNTY,34011,700 ARCHER ST,MILLVILLE,NJ,8332,3767,8563276141,1-Regular school,1-Local school district,1-Currently operational,2-No,39.403455,-75.04195,90,113230
"R. DUDLEY SEYMOUR SCHOOL, CT",R. DUDLEY SEYMOUR SCHOOL,90117000183,EAST GRANBY SCHOOL DISTRICT,901170,HARTFORD COUNTY,9003,185 HARTFORD AVE,EAST GRANBY,CT,6026,9520,8606537214,1-Regular school,1-Local school district,1-Currently operational,2-No,41.932932,-72.768103,2,40
"RACE BROOK SCHOOL, CT",RACE BROOK SCHOOL,90321000688,ORANGE SCHOOL DISTRICT,903210,NEW HAVEN COUNTY,9009,107 GRANNIS RD,ORANGE,CT,6477,1911,2038918030,1-Regular school,1-Local school district,1-Currently operational,2-No,41.29143,-73.005263,3,107
"RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES, NY",RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,360015000000,NEW YORK CITY GEOGRAPHIC DISTRICT #21,3600152,KINGS COUNTY,36047,521 WEST AVE,BROOKLYN,NY,11224,,7182650329,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.582173,-73.972882,332100000000,332100000000
"RADBURN, NJ",RADBURN,340498000000,FAIR LAWN,3404980,BERGEN COUNTY,34003,RADBURNE RD,FAIR LAWN,NJ,7410,4596,2017945482,1-Regular school,1-Local school district,1-Currently operational,2-No,40.94238,-74.113423,110,31450
"RADCLIFFE, NJ",RADCLIFFE,341188000000,NUTLEY,3411880,ESSEX COUNTY,34013,379 BLOOMFIELD AVE,NUTLEY,NJ,7110,2252,9736678819,1-Regular school,1-Local school district,1-Currently operational,2-No,40.820817,-74.167263,80,133750
"RADIX ELEM, NJ",RADIX ELEM,341047000000,MONROE TOWNSHIP,3410470,GLOUCESTER COUNTY,34015,363 RADIX RD,WILLIAMSTOWN,NJ,8094,8602,8567288650,1-Regular school,1-Local school district,1-Currently operational,2-No,39.692928,-74.978849,95,153280
"RAFAEL DE J CORDERO NO 37, NJ",RAFAEL DE J CORDERO NO 37,340783000000,JERSEY CITY,3407830,HUDSON COUNTY,34017,158 ERIE ST,JERSEY CITY,NJ,7302,1718,2017144390,1-Regular school,1-Local school district,1-Currently operational,2-No,40.727865,-74.043356,300,172390
"RAFAEL HERNANDEZ SCHOOL, NJ",RAFAEL HERNANDEZ SCHOOL,341134000000,NEWARK,3411340,ESSEX COUNTY,34013,345 BROADWAY,NEWARK,NJ,7104,4032,9734815004,1-Regular school,1-Local school district,1-Currently operational,2-No,40.762404,-74.167362,575,133570
"RAHWAY HIGH, NJ",RAHWAY HIGH,341353000000,RAHWAY,3413530,UNION COUNTY,34039,1012 MADISON AVE,RAHWAY,NJ,7065,1803,7323961101,1-Regular school,1-Local school district,1-Currently operational,2-No,40.610472,-74.293019,50,394290
"RAHWAY MIDDLE SCHOOL, NJ",RAHWAY MIDDLE SCHOOL,341353000000,RAHWAY,3413530,UNION COUNTY,34039,KLINE PLACE,RAHWAY,NJ,7065,1998,7323961025,1-Regular school,1-Local school district,1-Currently operational,2-No,40.61425,-74.29503,60,394290
"RALPH A FABRIZIO SCHOOL, NY",RALPH A FABRIZIO SCHOOL,360015000000,NEW YORK CITY GEOGRAPHIC DISTRICT #20,3600151,KINGS COUNTY,36047,7109 6TH AVE,BROOKLYN,NY,11209,2197,7187480333,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.630829,-74.019053,332000000000,332000000000
"RALPH J STEINHAUER ELEM, NJ",RALPH J STEINHAUER ELEM,340966000000,MAPLE SHADE TOWNSHIP,3409660,BURLINGTON COUNTY,34005,NORTH FELLOWSHIP RD,MAPLE SHADE,NJ,8052,2698,8567797323,1-Regular school,1-Local school district,1-Currently operational,2-No,39.95705,-74.99722,100,53010
"RALPH M. T. JOHNSON SCHOOL, CT",RALPH M. T. JOHNSON SCHOOL,90027001118,BETHEL SCHOOL DISTRICT,900270,FAIRFIELD COUNTY,9001,500 WHITTLESEY DR,BETHEL,CT,6801,1595,2037948700,1-Regular school,1-Local school district,1-Currently operational,2-No,41.384103,-73.396425,5,9
"RALPH R MCKEE CAREER AND TECHNICAL HIGH SCHOOL, NY",RALPH R MCKEE CAREER AND TECHNICAL HIGH SCHOOL,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #31,3600103,RICHMOND COUNTY,36085,290 ST MARKS PLACE,STATEN ISLAND,NY,10301,1855,7184202600,3-Vocational school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.642808,-74.078808,353100000000,353100000000
"RALPH R SMITH SCHOOL, NY",RALPH R SMITH SCHOOL,361518000000,HYDE PARK CENTRAL SCHOOL DISTRICT,3615180,DUTCHESS COUNTY,36027,16 SMITH CT,HYDE PARK,NY,12538,737,8452294060,1-Regular school,1-Local school district,1-Currently operational,2-No,41.775195,-73.907355,130801000000,130801000000
"RALPH REED SCHOOL, NY",RALPH REED SCHOOL,360687000000,CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,3606870,SUFFOLK COUNTY,36103,200 HALF MILE RD,CENTRAL ISLIP,NY,11722,9027,6313485065,1-Regular school,1-Local school district,1-Currently operational,2-No,40.800016,-73.192923,580513000000,580513000000
"RALPH S MAUGHAM, NJ",RALPH S MAUGHAM,341611000000,TENAFLY,3416110,BERGEN COUNTY,34003,111 MAGNOLIA AVE,TENAFLY,NJ,7670,1892,2018167705,1-Regular school,1-Local school district,1-Currently operational,2-No,40.929384,-73.959823,90,35160
"RAMAPO HIGH, NJ",RAMAPO HIGH,341356000000,RAMAPO INDIAN HILLS REGIO,3413560,BERGEN COUNTY,34003,331 GEORGE ST,FRANKLIN LAKES,NJ,7417,3099,2018911500,1-Regular school,1-Local school district,1-Currently operational,2-No,41.000155,-74.194878,50,34300
"RAMAPO HIGH SCHOOL, NY",RAMAPO HIGH SCHOOL,362781000000,EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),3627810,ROCKLAND COUNTY,36087,400 VIOLA RD,SPRING VALLEY,NY,10977,2099,8455776400,1-Regular school,1-Local school district,1-Currently operational,2-No,41.13466,-74.060783,500402000000,500402000000
"RAMAPO RIDGE, NJ",RAMAPO RIDGE,340933000000,MAHWAH TOWNSHIP,3409330,BERGEN COUNTY,34003,150 RIDGE RD,MAHWAH,NJ,7430,2311,2015295002,1-Regular school,1-Local school district,1-Currently operational,2-No,41.086448,-74.160486,76,32900
"RAMSDELL ELEMENTARY SCHOOL, NY",RAMSDELL ELEMENTARY SCHOOL,361599000000,JORDAN-ELBRIDGE CENTRAL SCHOOL DISTRICT,3615990,ONONDAGA COUNTY,36067,9 CHAPPELL ST,JORDAN,NY,13080,903,3156898530,1-Regular school,1-Local school district,1-Currently operational,2-No,43.06658,-76.470502,420501000000,420501000000
"RAMSEY HIGH, NJ",RAMSEY HIGH,341359000000,RAMSEY,3413590,BERGEN COUNTY,34003,266 EAST MAIN ST,RAMSEY,NJ,7446,1990,2017852300,1-Regular school,1-Local school district,1-Currently operational,2-No,41.057947,-74.134163,50,34310
"RAMTOWN, NJ",RAMTOWN,340756000000,HOWELL TOWNSHIP,3407560,MONMOUTH COUNTY,34025,216 RAMTOWN GREENVILLE RD,HOWELL,NJ,7731,216,7327512493,1-Regular school,1-Local school district,1-Currently operational,2-No,40.109526,-74.162224,35,252290
"RANCOCAS VALLEY REG H, NJ",RANCOCAS VALLEY REG H,341362000000,RANCOCAS VALLEY REGIONAL,3413620,BURLINGTON COUNTY,34005,520 JACKSONVILLE RD,MOUNT HOLLY,NJ,8060,9622,6092670830,1-Regular school,1-Local school district,1-Currently operational,2-No,40.004217,-74.780643,50,54320
"RAND SCHOOL, NJ",RAND SCHOOL,341056000000,MONTCLAIR,3410560,ESSEX COUNTY,34013,176 NO FULLERTON AVE,MONTCLAIR,NJ,7042,3859,9735094255,1-Regular school,1-Local school district,1-Currently operational,2-No,40.821544,-74.211269,60,133310
"RANDALL CARTER, NJ",RANDALL CARTER,341728000000,WAYNE TOWNSHIP,3417280,PASSAIC COUNTY,34031,531 ALPS RD,WAYNE,NJ,7470,4672,9736333145,1-Regular school,1-Local school district,1-Currently operational,2-No,40.925564,-74.246689,135,315570
"RANDALL SCHOOL, NY",RANDALL SCHOOL,360846000000,CORTLAND CITY SCHOOL DISTRICT,3608460,CORTLAND COUNTY,36023,31 RANDALL ST,CORTLAND,NY,13045,3050,6077584170,1-Regular school,1-Local school district,1-Currently operational,2-No,42.59493,-76.17548,110200000000,110200000000
"RANDOLPH ACADEMY, NY",RANDOLPH ACADEMY,360744000000,RANDOLPH ACADEMY UNION FREE SCHOOL DISTRICT,3607440,CATTARAUGUS COUNTY,36009,336 MAIN ST,RANDOLPH,NY,14772,9480,7163586866,1-Regular school,1-Local school district,1-Currently operational,2-No,42.167248,-78.961205,43011020001,43011020000
"RANDOLPH HIGH, NJ",RANDOLPH HIGH,341365000000,RANDOLPH TOWNSHIP,3413650,MORRIS COUNTY,34027,MILLBROOK AVE,RANDOLPH,NJ,7869,3795,9733612400,1-Regular school,1-Local school district,1-Currently operational,2-No,40.86556,-74.557643,50,274330
"RANDOLPH MIDDLE, NJ",RANDOLPH MIDDLE,341365000000,RANDOLPH TOWNSHIP,3413650,MORRIS COUNTY,34027,507 MILLBROOK AVE,RANDOLPH,NJ,7869,3701,9733668700,1-Regular school,1-Local school district,1-Currently operational,2-No,40.847289,-74.563093,75,274330
"RANDOLPH SENIOR HIGH SCHOOL, NY",RANDOLPH SENIOR HIGH SCHOOL,362409000000,RANDOLPH CENTRAL SCHOOL DISTRICT,3624090,CATTARAUGUS COUNTY,36009,18 MAIN ST,RANDOLPH,NY,14772,1188,7163587007,1-Regular school,1-Local school district,1-Currently operational,2-No,42.172628,-78.947378,43001040002,43001040000
"RANDOLPHVILLE, NJ",RANDOLPHVILLE,341305000000,PISCATAWAY TOWNSHIP,3413050,MIDDLESEX COUNTY,34023,ONE SUTTIE AVE,PISCATAWAY,NJ,8854,4212,7326991573,1-Regular school,1-Local school district,1-Currently operational,2-No,40.546003,-74.449631,120,234130
"RAPHAEL J MCNULTY ACADEMY FOR INTERN STUDIES & LIT, NY",RAPHAEL J MCNULTY ACADEMY FOR INTERN STUDIES & LIT,360297000000,AMSTERDAM CITY SCHOOL DISTRICT,3602970,MONTGOMERY COUNTY,36057,60 BRANDT PLACE,AMSTERDAM,NY,12010,670,5188434773,1-Regular school,1-Local school district,1-Currently operational,2-No,42.946293,-74.197419,270100000000,270100000000
"RARITAN HIGH SCHOOL, NJ",RARITAN HIGH SCHOOL,341368000000,HAZLET TOWNSHIP,3413680,MONMOUTH COUNTY,34025,419 MIDDLE RD,HAZLET,NJ,7730,2498,7322648411,1-Regular school,1-Local school district,1-Currently operational,2-No,40.424078,-74.152239,50,252105
"RARITAN VALLEY ACADEMY, NJ",RARITAN VALLEY ACADEMY,348018000000,MIDDLESEX COUNTY EDUCATIO,3480180,MIDDLESEX COUNTY,34023,1690 STELTON RD,PISCATAWAY,NJ,8854,,7327779860,2-Special education school,1-Local school district,1-Currently operational,2-No,40.530754,-74.417504,80,233145
"RARITAN VALLEY SCHOOL, NJ",RARITAN VALLEY SCHOOL,341368000000,HAZLET TOWNSHIP,3413680,MONMOUTH COUNTY,34025,37 CRESCI BLVD,HAZLET,NJ,7730,1168,7322641333,1-Regular school,1-Local school district,1-Currently operational,2-No,40.41331,-74.205902,95,252105
"RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL, NY",RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,362415000000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,3624150,ALBANY COUNTY,36001,2025ROUTE 9W,RAVENA,NY,12143,150,5187565200,1-Regular school,1-Local school district,1-Currently operational,2-No,42.496909,-73.820781,10402060008,10402060000
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL, NY",RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,362415000000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,3624150,ALBANY COUNTY,36001,2025ROUTE 9W,RAVENA,NY,12143,150,5187565200,1-Regular school,1-Local school district,1-Currently operational,2-No,42.496909,-73.820781,10402060001,10402060000
"RAVINE DRIVE, NJ",RAVINE DRIVE,340975000000,MATAWAN-ABERDEEN REGIONAL,3409750,MONMOUTH COUNTY,34025,170 RAVINE DR,MATAWAN,NJ,7747,2800,7327055800,1-Regular school,1-Local school district,1-Currently operational,2-No,40.422891,-74.245297,75,253040
"RAYMOND C BUCKLEY ELEMENTARY SCHOOL, NY",RAYMOND C BUCKLEY ELEMENTARY SCHOOL,361671000000,LANSING CENTRAL SCHOOL DISTRICT,3616710,TOMPKINS COUNTY,36109,284 RIDGE RD,LANSING,NY,14882,9021,6075334183,1-Regular school,1-Local school district,1-Currently operational,2-No,42.542804,-76.532268,610801000000,610801000000
"RAYMOND E VOORHEES, NJ",RAYMOND E VOORHEES,340927000000,OLD BRIDGE TOWNSHIP,3409270,MIDDLESEX COUNTY,34023,11 LIBERTY ST,OLD BRIDGE,NJ,8857,3414,7323604544,1-Regular school,1-Local school district,1-Currently operational,2-No,40.390489,-74.362169,140,233845
"RAYMOND W  KERSHAW, NJ",RAYMOND W  KERSHAW,341089000000,MOUNT EPHRAIM BOROUGH,3410890,CAMDEN COUNTY,34007,125 SOUTH BLACK HORSE PK,MOUNT EPHRAIM,NJ,8059,1803,8569311634,1-Regular school,1-Local school district,1-Currently operational,2-No,39.879433,-75.085172,20,73420
"REACH ACADEMY FOR GIRLS, DE",REACH ACADEMY FOR GIRLS,100005000000,REACH ACADEMY FOR GIRLS,1000051,NEW CASTLE COUNTY,10003,3210 PHILADELPHIA PK,CLAYMONT,DE,19703,,3027926400,1-Regular school,7-Charter school agency,3-New school,1-Yes,39.799097,-75.462092,572,73
"REACH/CBIP, DE",REACH/CBIP,100020000000,CHRISTINA SCHOOL DISTRICT,1000200,NEW CASTLE COUNTY,10003,600 NORTH LOMBARD ST,WILMINGTON,DE,19801,4120,3025522624,4-Alternative/other school,1-Local school district,1-Currently operational,2-No,39.739826,-75.545111,512,33
"READ (GEORGE) MIDDLE SCHOOL, DE",READ (GEORGE) MIDDLE SCHOOL,100023000000,COLONIAL SCHOOL DISTRICT,1000230,NEW CASTLE COUNTY,10003,314 EAST BASIN RD,NEW CASTLE,DE,19720,4298,3023232760,1-Regular school,1-Local school district,1-Currently operational,2-No,39.67738,-75.588155,474,34
"READ SCHOOL, CT",READ SCHOOL,90045000080,BRIDGEPORT SCHOOL DISTRICT,900450,FAIRFIELD COUNTY,9001,130 EZRA ST,BRIDGEPORT,CT,6606,5061,2035768030,1-Regular school,1-Local school district,1-Currently operational,2-No,41.202812,-73.198956,25,15
"READING  FLEMING INTERMED, NJ",READING  FLEMING INTERMED,340519000000,FLEMINGTON-RARITAN REGION,3405190,HUNTERDON COUNTY,34019,50 COURT ST,FLEMINGTON,NJ,8822,1325,9082847504,1-Regular school,1-Local school district,1-Currently operational,2-No,40.5102,-74.863964,40,191510
"READINGTON, NJ",READINGTON,341371000000,READINGTON TOWNSHIP,3413710,HUNTERDON COUNTY,34019,48 READINGTON RD,WHITEHOUSE STATION,NJ,8889,,9085342113,1-Regular school,1-Local school district,1-Currently operational,2-No,40.588564,-74.760074,50,194350
"RED BANK ELEM, NJ",RED BANK ELEM,341743000000,WEST DEPTFORD TOWNSHIP,3417430,GLOUCESTER COUNTY,34015,192 PHILADELPHIA AVE,THOROFARE,NJ,8086,9703,8568452727,1-Regular school,1-Local school district,1-Currently operational,2-No,39.867422,-75.166598,111,155620
"RED BANK MIDDLE, NJ",RED BANK MIDDLE,341374000000,RED BANK,3413740,MONMOUTH COUNTY,34025,101 HARDING RD,RED BANK,NJ,7701,2008,7327581515,1-Regular school,1-Local school district,1-Currently operational,2-No,40.347556,-74.060812,60,254360
"RED BANK PRIMARY, NJ",RED BANK PRIMARY,341374000000,RED BANK,3413740,MONMOUTH COUNTY,34025,222 RIVER ST,RED  BANK,NJ,7701,1397,7327581530,1-Regular school,1-Local school district,1-Currently operational,2-No,40.342552,-74.081332,75,254360
"RED BANK REG HIGH, NJ",RED BANK REG HIGH,341375000000,RED BANK REGIONAL H S  DI,3413750,MONMOUTH COUNTY,34025,101 RIDGE RD,LITTLE SILVER,NJ,7739,1698,7328428000,1-Regular school,1-Local school district,1-Currently operational,2-No,40.351061,-74.041247,50,254365
"RED CREEK HIGH SCHOOL, NY",RED CREEK HIGH SCHOOL,362421000000,RED CREEK CENTRAL SCHOOL DISTRICT,3624210,WAYNE COUNTY,36117,6574 SOUTH ST,RED CREEK,NY,13143,190,3157542040,1-Regular school,1-Local school district,1-Currently operational,2-No,43.238541,-76.720387,651503000000,651503000000
"RED CREEK MIDDLE SCHOOL, NY",RED CREEK MIDDLE SCHOOL,362421000000,RED CREEK CENTRAL SCHOOL DISTRICT,3624210,WAYNE COUNTY,36117,6608 SOUTH ST,RED CREEK,NY,13143,190,3157542070,1-Regular school,1-Local school district,1-Currently operational,2-No,43.23984,-76.720472,651503000000,651503000000
"RED HOOK NEIGHBORHOOD SCHOOL, NY",RED HOOK NEIGHBORHOOD SCHOOL,360009000000,NEW YORK CITY GEOGRAPHIC DISTRICT #15,3600092,KINGS COUNTY,36047,27 HUNTINGTON ST,BROOKLYN,NY,11231,,7183302238,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.6776,-74.005081,331500000000,331500000000
"RED HOOK SENIOR HIGH SCHOOL, NY",RED HOOK SENIOR HIGH SCHOOL,362424000000,RED HOOK CENTRAL SCHOOL DISTRICT,3624240,DUTCHESS COUNTY,36027,103 WEST MARKET ST,RED HOOK,NY,12571,9446,8457582241,1-Regular school,1-Local school district,1-Currently operational,2-No,41.997511,-73.884067,131701000000,131701000000
"RED JACKET ELEMENTARY SCHOOL, NY",RED JACKET ELEMENTARY SCHOOL,362427000000,MANCHESTER-SHORTSVILLE CENTRAL SCHOOL DISTRICT (RED JACKET),3624270,ONTARIO COUNTY,36069,1506ROUTE 21,SHORTSVILLE,NY,14548,9502,5852899647,1-Regular school,1-Local school district,1-Currently operational,2-No,42.959289,-77.230254,431101000000,431101000000
"RED JACKET HIGH SCHOOL, NY",RED JACKET HIGH SCHOOL,362427000000,MANCHESTER-SHORTSVILLE CENTRAL SCHOOL DISTRICT (RED JACKET),3624270,ONTARIO COUNTY,36069,1506ROUTE 21,SHORTSVILLE,NY,14548,9502,5852893966,1-Regular school,1-Local school district,1-Currently operational,2-No,42.959289,-77.230254,431101000000,431101000000
"RED JACKET MIDDLE SCHOOL, NY",RED JACKET MIDDLE SCHOOL,362427000000,MANCHESTER-SHORTSVILLE CENTRAL SCHOOL DISTRICT (RED JACKET),3624270,ONTARIO COUNTY,36069,1506ROUTE 21,SHORTSVILLE,NY,14548,9502,5852893967,1-Regular school,1-Local school district,1-Currently operational,2-No,42.959289,-77.230254,431101000000,431101000000
"RED MILL SCHOOL, NY",RED MILL SCHOOL,360963000000,EAST GREENBUSH CENTRAL SCHOOL DISTRICT,3609630,RENSSELAER COUNTY,36083,225 MCCULLOUGH PLACE,RENSSELAER,NY,12144,3718,5182072660,1-Regular school,1-Local school district,1-Currently operational,2-No,42.621584,-73.723049,490301000000,490301000000
"REDDING (LOUIS L.) MIDDLE SCHOOL, DE",REDDING (LOUIS L.) MIDDLE SCHOOL,100008000000,APPOQUINIMINK SCHOOL DISTRICT,1000080,NEW CASTLE COUNTY,10003,201 NEW ST,MIDDLETOWN,DE,19709,1140,3023785030,1-Regular school,1-Local school district,1-Currently operational,2-No,39.453015,-75.708396,16,29
"REDDING ELEMENTARY SCHOOL, CT",REDDING ELEMENTARY SCHOOL,90351000722,REDDING SCHOOL DISTRICT,903510,FAIRFIELD COUNTY,9001,33 LONETOWN RD,REDDING,CT,6875,,2039382519,1-Regular school,1-Local school district,1-Currently operational,2-No,41.309162,-73.383678,1,117
"REDWOOD, NJ",REDWOOD,341761000000,WEST ORANGE,3417610,ESSEX COUNTY,34013,75 REDWOOD AVE,W ORANGE,NJ,7052,3623,9736695457,1-Regular school,1-Local school district,1-Currently operational,2-No,40.813975,-74.249633,160,135680
"REED INTERMEDIATE SCHOOL, CT",REED INTERMEDIATE SCHOOL,90291001487,NEWTOWN SCHOOL DISTRICT,902910,FAIRFIELD COUNTY,9001,3 TRADES LN,NEWTOWN,CT,6470,,2032704880,1-Regular school,1-Local school district,1-Currently operational,2-No,41.405637,-73.288156,5,97
"REEDS ROAD ELEM SCH, NJ",REEDS ROAD ELEM SCH,340573000000,GALLOWAY TOWNSHIP,3405730,ATLANTIC COUNTY,34001,101 SOUTH REEDS RD,GALLOWAY,NJ,8205,,6097481250,1-Regular school,1-Local school district,1-Currently operational,2-No,39.486051,-74.514842,45,11690
"REESE ROAD ELEMENTARY SCHOOL, NY",REESE ROAD ELEMENTARY SCHOOL,361140000000,FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT,3611400,HERKIMER COUNTY,36043,610 REESE RD,FRANKFORT,NY,13340,1310,3158957491,1-Regular school,1-Local school district,1-Currently operational,2-No,43.025922,-75.070634,210402000000,210402000000
"REGAN SCHOOL, CT",REGAN SCHOOL,90483000984,WATERBURY SCHOOL DISTRICT,904830,NEW HAVEN COUNTY,9009,2780 NORTH MAIN ST,WATERBURY,CT,6704,1603,2035748187,1-Regular school,1-Local school district,1-Currently operational,2-No,41.592379,-73.027098,28,151
"REGGIO MAGNET SCHOOL OF THE ARTS, CT",REGGIO MAGNET SCHOOL OF THE ARTS,90070001516,CAPITOL REGION EDUCATION COUN,900700,HARTFORD COUNTY,9003,150 FISHER DR,AVON,CT,6001,,8606748549,1-Regular school,4-Regional education services agency,1-Currently operational,2-No,41.817306,-72.836061,3,241
"REGINALD BENNETT ELEMENTARY SCHOOL, NY",REGINALD BENNETT ELEMENTARY SCHOOL,362184000000,ONTEORA CENTRAL SCHOOL DISTRICT,3621840,ULSTER COUNTY,36111,4166ROUTE 28,BOICEVILLE,NY,12412,,8456572354,1-Regular school,1-Local school district,1-Currently operational,2-No,42.009717,-74.268273,621201000000,621201000000
"REGIONAL ALTERNATIVE SCH, NJ",REGIONAL ALTERNATIVE SCH,348024000000,MONMOUTH-OCEAN EDUCATIONA,3480240,MONMOUTH COUNTY,34025,100 TORNELLO WAY,TINTON FALLS,NJ,7724,,7323895555,4-Alternative/other school,1-Local school district,1-Currently operational,2-No,40.26891,-74.08157,50,253255
